card_number,bath,beds,year_built,elevation,sqft,price,price_per_sqft,city
6,1.5,1,2000,9,1000,378551,379,San Francisco
17,1,2,1915,13,680,480000,706,San Francisco
26,2,2,1999,10,1569,2175000,1386,New York
52,1,1,1969,23,600,1200000,2000,New York
66,3,4,1968,163,2275,1388000,610,San Francisco
69,2.5,3,2008,23,2354,1995000,847,San Francisco
86,3,4,2001,0,2277,3895000,1711,New York
89,3.5,4,2008,62,6024,9895000,1643,San Francisco
95,1,0,1957,11,485,539000,1111,New York
98,2,3,2006,3,1362,1995000,1465,San Francisco
107,2,2,1909,54,1700,875000,515,San Francisco
108,1,1,1907,32,720,650000,903,New York
117,1,3,1940,66,1325,648800,490,San Francisco
126,1,1,1900,10,1093,1195000,1093,New York
135,2,3,1892,41,1809,1399000,773,San Francisco
143,1,1,2007,6,720,1250000,1736,New York
151,1,1,1920,10,500,475000,950,New York
195,4,6,1937,79,1965,1198000,610,San Francisco
207,7,7,1994,10,4238,19500000,4601,New York
227,1,1,1920,5,1400,1849000,1321,New York
